year,region,post_rural_vitalization,agri_loan_balance,agri_loan_growth_rate,grain_yield_per_ha,per_capita_agri_output,agri_machinery_power_per_1000ha,forest_cover_rate,fertilizer_use_intensity,sanitary_toilet_rate,cultural_spending_share,township_culture_stations_per_10k,avg_education_years_rural,urban_rural_governance_index,village_governance_participation_rate,rural_disposable_income_per_capita,rural_engel_coefficient,cars_per_100_households,industry_score,ecology_score,culture_score,governance_score,affluence_score,rural_vitalization_index
2018,安徽,1,559.05,0.12843647813976,6.364,1.846,152.73,41.9,0.428,85.5,11.878,1.851,7.879,50.86,64.63,15808.41,31.9,20.68,24.760993817955917,58.26095464390243,58.38223912432532,28.67328259361173,56.20023150617851,34.20303824135751
2019,安徽,1,596.2,0.06645201681423862,6.365,1.911,149.2,44.66,0.402,88.78,12.287,1.688,7.926,52.23,65.83,15950.26,30.68,22.51,25.399196163259642,65.81682149802596,57.502456955610725,31.62545746238773,62.17026194130568,39.46300167692638
2020,安徽,1,612.92,0.02804428044280427,6.403,2.093,170.64,41.02,0.44,91.45,12.696,2.018,8.016,55.83,64.33,17040.91,29.91,18.24,30.887735720819688,61.70935063552583,70.3529263388538,34.093503880152895,62.765115977788014,44.35511171153244
2021,安徽,1,644.37,0.05131175357306028,6.985,2.048,170.53,43.42,0.429,91.48,12.466,1.908,7.986,54.51,63.32,17073.99,29.08,21.53,36.5013993668045,64.98550878087799,65.48840633189977,31.415266427521633,69.18964749255652,47.644535379070255
2022,安徽,1,644.23,-0.00021726647733444349,6.815,2.159,164.72,46.36,0.404,94.88,12.6,1.938,8.06,54.88,68.77,18078.95,28.3,18.2,35.7501878556784,72.76044327930975,68.46433484346004,38.039309095568655,70.68608600340288,53.085685056905774
2023,安徽,1,668.43,0.037564223957282206,6.621,2.092,174.14,49.12,0.39,99.78,13.311,1.87,8.109,54.95,69.34,18532.22,27.94,23.44,33.60999088258699,80.88112637702066,71.98841158471836,38.76838511806423,79.94924351505512,58.80932697139783
2013,山东,0,827.75,0.0,4.613,2.25,276.36,23.39,0.395,61.35,6.401,1.827,7.964,73.01,70.89,11106.53,39.3,24.51,25.07621061706474,20.438184223230973,25.336386145004642,61.4655079981574,24.683922672988942,14.912728587302423
2014,山东,0,907.14,0.09591060102687998,4.829,2.471,308.81,28.79,0.38,63.78,6.489,1.881,7.994,77.16,71.96,11548.25,38.81,24.76,34.26483321251473,29.183893355045637,27.850014146209144,67.49249279334549,27.895324652239623,24.838509071657604
2015,山东,0,945.25,0.04201115594064864,4.807,2.401,315.7,25.65,0.363,67.75,6.233,2.002,8.046,77.09,74.59,11919.46,38.32,26.54,33.67766782371947,30.636051438129396,30.392038340471473,70.40092876972321,32.78891391707728,28.13920322985275
2016,山东,0,979.51,0.03624437979370532,4.767,2.503,321.93,25.81,0.348,69.43,7.171,2.015,8.08,76.51,77.3,12072.12,37.21,29.15,35.47505525891946,33.33635955833072,37.17544089356197,72.80910910571411,39.50922402565499,34.20547641278738
2017,山东,0,1027.19,0.04867739992445208,4.916,2.714,322.38,25.42,0.349,70.17,6.668,2.003,8.121,81.05,76.42,12612.85,36.96,29.13,40.39116035568392,33.511683553301,34.49218945336158,77.07157412803952,42.132239853519984,37.74889415239325
2018,山东,1,1049.63,0.021846007067825912,5.15,2.712,324.48,27.48,0.343,75.41,6.455,2.137,8.185,80.18,81.41,13061.21,35.06,29.78,43.1233580416978,40.64150357597228,37.86229313077464,81.73531294420023,49.47949548415446,45.689380270698415
2019,山东,1,1088.84,0.03735602069300592,5.271,2.673,355.89,28.99,0.338,79.73,7.184,2.138,8.222,82.23,83.24,13176.64,35.37,29.16,47.16469853678674,46.329638183048885,43.08924513152026,86.19188090823249,48.32850768657278,51.376578622727926
2020,山东,1,1171.54,0.07595238969912943,5.509,2.81,358.93,28.61,0.345,79.35,7.498,2.239,8.311,83.85,82.23,13668.97,34.11,27.75,52.181435754885406,45.108957815861814,49.32065164669174,86.92169975884477,51.58609688583965,55.71700244644481
